Model: model_0.pth.tar, Object: 0.obj, Surface F1: 0.948, Volume F1: 0.964
Model: model_1.pth.tar, Object: 1.obj, Surface F1: 0.954, Volume F1: 0.976
Model: model_2.pth.tar, Object: 10.obj, Surface F1: 0.779, Volume F1: 0.837
Model: model_3.pth.tar, Object: 11.obj, Surface F1: 0.903, Volume F1: 0.899
Model: model_4.pth.tar, Object: 12.obj, Surface F1: 0.949, Volume F1: 0.95
Model: model_5.pth.tar, Object: 13.obj, Surface F1: 0.935, Volume F1: 0.913
Model: model_6.pth.tar, Object: 14.obj, Surface F1: 0.952, Volume F1: 0.96
Model: model_7.pth.tar, Object: 15.obj, Surface F1: 0.837, Volume F1: 0.852
Model: model_8.pth.tar, Object: 16.obj, Surface F1: 0.943, Volume F1: 0.959
Model: model_9.pth.tar, Object: 17.obj, Surface F1: 0.859, Volume F1: 0.885
Model: model_10.pth.tar, Object: 18.obj, Surface F1: 0.851, Volume F1: 0.85
Model: model_11.pth.tar, Object: 19.obj, Surface F1: 0.948, Volume F1: 0.974
Model: model_12.pth.tar, Object: 2.obj, Surface F1: 0.961, Volume F1: 0.983
Model: model_13.pth.tar, Object: 20.obj, Surface F1: 0.936, Volume F1: 0.955
Model: model_14.pth.tar, Object: 21.obj, Surface F1: 0.856, Volume F1: 0.869
Model: model_15.pth.tar, Object: 22.obj, Surface F1: 0.964, Volume F1: 0.912
Model: model_16.pth.tar, Object: 23.obj, Surface F1: 0.96, Volume F1: 0.946
Model: model_17.pth.tar, Object: 24.obj, Surface F1: 0.771, Volume F1: 0.832
Model: model_18.pth.tar, Object: 25.obj, Surface F1: 0.958, Volume F1: 0.956
Model: model_19.pth.tar, Object: 26.obj, Surface F1: 0.88, Volume F1: 0.904
Model: model_20.pth.tar, Object: 27.obj, Surface F1: 0.957, Volume F1: 0.962
Model: model_21.pth.tar, Object: 28.obj, Surface F1: 0.953, Volume F1: 0.949
Model: model_22.pth.tar, Object: 29.obj, Surface F1: 0.893, Volume F1: 0.899
Model: model_23.pth.tar, Object: 3.obj, Surface F1: 0.957, Volume F1: 0.889
Model: model_24.pth.tar, Object: 30.obj, Surface F1: 0.952, Volume F1: 0.945
Model: model_25.pth.tar, Object: 31.obj, Surface F1: 0.971, Volume F1: 0.981
Model: model_26.pth.tar, Object: 32.obj, Surface F1: 0.934, Volume F1: 0.951
Model: model_27.pth.tar, Object: 33.obj, Surface F1: 0.873, Volume F1: 0.889
Model: model_28.pth.tar, Object: 34.obj, Surface F1: 0.892, Volume F1: 0.937
Model: model_29.pth.tar, Object: 35.obj, Surface F1: 0.914, Volume F1: 0.941
Model: model_30.pth.tar, Object: 36.obj, Surface F1: 0.892, Volume F1: 0.915
Model: model_31.pth.tar, Object: 37.obj, Surface F1: 0.912, Volume F1: 0.91
Model: model_32.pth.tar, Object: 38.obj, Surface F1: 0.953, Volume F1: 0.937
Model: model_33.pth.tar, Object: 39.obj, Surface F1: 0.954, Volume F1: 0.963
Model: model_34.pth.tar, Object: 4.obj, Surface F1: 0.886, Volume F1: 0.919
Model: model_35.pth.tar, Object: 40.obj, Surface F1: 0.928, Volume F1: 0.967
Model: model_36.pth.tar, Object: 41.obj, Surface F1: 0.943, Volume F1: 0.964
Model: model_37.pth.tar, Object: 42.obj, Surface F1: 0.959, Volume F1: 0.943
Model: model_38.pth.tar, Object: 43.obj, Surface F1: 0.925, Volume F1: 0.906
Model: model_39.pth.tar, Object: 44.obj, Surface F1: 0.928, Volume F1: 0.896
Model: model_40.pth.tar, Object: 45.obj, Surface F1: 0.957, Volume F1: 0.973
Model: model_41.pth.tar, Object: 46.obj, Surface F1: 0.869, Volume F1: 0.908
Model: model_42.pth.tar, Object: 47.obj, Surface F1: 0.96, Volume F1: 0.981
Model: model_43.pth.tar, Object: 48.obj, Surface F1: 0.932, Volume F1: 0.96
Model: model_44.pth.tar, Object: 49.obj, Surface F1: 0.97, Volume F1: 0.984
Model: model_45.pth.tar, Object: 5.obj, Surface F1: 0.946, Volume F1: 0.901
Model: model_46.pth.tar, Object: 6.obj, Surface F1: 0.961, Volume F1: 0.98
Model: model_47.pth.tar, Object: 7.obj, Surface F1: 0.963, Volume F1: 0.975
Model: model_48.pth.tar, Object: 8.obj, Surface F1: 0.943, Volume F1: 0.955
Model: model_49.pth.tar, Object: 9.obj, Surface F1: 0.687, Volume F1: 0.773
Average Surface F1: 0.9180649626692536
Average Volume F1: 0.9285064997916319
